Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,,,
E0,13/01/18,Crystal Palace,Burnley,1,0,H,1,0,H,M Oliver,17,8,2,2,16,10,3,2,0,3,0,0,2,3.29,4.5,2,3.2,4.2,2,3.3,4,2,3.2,4,2.02,3.3,4.51,2.05,3.1,4.33,2,3.3,4.4,36,2.07,2.01,3.35,3.25,4.51,4.18,33,2.5,2.38,1.63,1.59,20,-0.25,1.75,1.71,2.27,2.21,2.18,3.22,3.98,,,,,,,,,
E0,13/01/18,Huddersfield,West Ham,1,4,A,1,1,D,J Moss,8,8,2,6,7,9,7,3,1,1,0,0,2.62,3.1,3.1,2.6,3,3,2.6,3.25,2.75,2.6,3,2.87,2.67,3.14,3.06,2.7,3,3,2.75,3.1,3,37,2.75,2.64,3.25,3.05,3.1,2.96,32,2.6,2.48,1.6,1.54,20,-0.25,2.32,2.22,1.73,1.7,2.94,3.11,2.79,,,,,,,,,
E0,13/01/18,Newcastle,Swansea,1,1,D,0,0,D,G Scott,12,8,4,5,11,10,4,5,0,3,0,0,1.95,3.39,4.5,1.9,3.25,4.6,1.9,3.5,4.1,1.95,3.2,4.25,1.99,3.38,4.5,1.95,3.3,4.5,1.95,3.4,4.6,36,2,1.94,3.5,3.31,4.75,4.38,33,2.45,2.35,1.65,1.6,19,-0.75,2.34,2.24,1.73,1.68,1.76,3.75,5.4,,,,,,,,,
E0,13/01/18,Tottenham,Everton,4,0,H,1,0,H,C Pawson,20,7,10,0,11,15,3,3,0,2,0,0,1.28,6,13,1.25,6,12.5,1.33,5.3,8.7,1.28,5.25,12,1.28,6.02,13.69,1.29,5.5,12,1.29,6,13,36,1.33,1.28,6.4,5.67,14,12.11,33,1.75,1.7,2.25,2.17,20,-1.5,1.9,1.85,2.07,2.02,1.28,6.12,12.61,,,,,,,,,
E0,13/01/18,Watford,Southampton,2,2,D,0,2,A,R East,16,10,4,4,11,13,5,4,0,5,0,0,2.5,3.39,3,2.4,3.3,3,2.4,3.3,2.95,2.45,3.25,2.87,2.5,3.48,3.01,2.5,3.25,3,2.55,3.4,3,36,2.55,2.46,3.5,3.33,3.08,2.94,34,2,1.94,1.92,1.88,19,-0.25,2.19,2.11,1.82,1.77,2.79,3.35,2.75,,,,,,,,,
E0,13/01/18,West Brom,Brighton,2,0,H,1,0,H,M Atkinson,15,13,4,1,8,15,9,6,0,0,0,0,2.14,3,4.33,2.1,3,4.1,2.1,3.2,3.8,2.1,3,4,2.16,3.08,4.31,2.05,3,4.2,2.15,3.1,4.33,36,2.2,2.12,3.2,3,4.5,4.14,33,3.14,2.91,1.45,1.4,20,-0.25,1.82,1.78,2.16,2.11,2.17,3.14,4.15,,,,,,,,,
E0,14/01/18,Bournemouth,Arsenal,2,1,H,0,0,D,K Friend,13,12,5,3,8,10,4,5,2,2,0,0,4.75,4.2,1.75,4.75,3.9,1.72,4.8,3.9,1.7,4.33,4,1.73,4.63,4.22,1.76,4.5,4,1.75,4.6,4.2,1.75,36,4.8,4.49,4.28,4.02,1.8,1.73,30,1.55,1.51,2.62,2.54,19,0.75,1.98,1.93,1.99,1.93,3.81,3.61,2.08,,,,,,,,,
E0,14/01/18,Liverpool,Man City,4,3,H,1,1,D,A Marriner,16,11,7,4,10,7,5,6,2,3,0,0,3.1,3.75,2.29,3.1,3.6,2.2,3,3.5,2.3,2.9,3.6,2.25,3.07,3.75,2.34,3.1,3.5,2.3,2.88,3.6,2.25,36,3.2,3.03,3.79,3.6,2.37,2.27,32,1.56,1.52,2.75,2.51,19,0.25,1.9,1.87,2.06,1.99,3.22,3.62,2.31,,,,,,,,,
E0,15/01/18,Man United,Stoke,3,0,H,2,0,H,A Taylor,20,11,9,5,14,10,6,1,2,1,0,0,1.22,7,15,1.22,7,11.5,1.25,6,11,1.22,6,15,1.23,7.22,15.23,1.22,6.5,15,1.22,7,15,34,1.25,1.22,7.25,6.58,15.72,13.77,29,1.55,1.5,2.67,2.56,19,-1.75,1.88,1.84,2.1,2.03,1.22,7.2,15.8,,,,,,,,,
E0,20/01/18,Arsenal,Crystal Palace,4,1,H,4,0,H,C Kavanagh,16,9,10,5,6,8,5,10,0,0,0,0,1.5,4.75,7,1.5,4.4,6.25,1.5,4.2,6.5,1.5,4.33,6.5,1.49,4.73,7.19,1.5,4.33,7,1.5,4.6,7,37,1.52,1.5,4.75,4.46,7.2,6.55,33,1.64,1.59,2.45,2.36,21,-1,1.85,1.8,2.12,2.08,1.44,4.97,7.85,,,,,,,,,
E0,20/01/18,Brighton,Chelsea,0,4,A,0,2,A,J Moss,10,14,3,10,12,5,5,3,3,0,0,0,6.5,3.89,1.61,6,3.8,1.6,5.7,3.9,1.6,6,3.6,1.6,6.33,3.9,1.65,6.5,3.75,1.62,6.5,3.9,1.62,37,6.78,6.17,3.95,3.76,1.67,1.62,35,2.28,2.19,1.74,1.68,20,0.75,2.12,2.07,1.85,1.81,7,3.85,1.62,,,,,,,,,
E0,20/01/18,Burnley,Man United,0,1,A,0,0,D,M Dean,13,12,2,2,7,12,5,4,3,3,0,0,7.5,3.89,1.57,6.5,3.9,1.57,6.2,4,1.55,6.5,3.7,1.57,6.98,3.95,1.6,7,3.8,1.57,7,3.9,1.6,37,7.5,6.64,4,3.82,1.63,1.58,35,2.25,2.18,1.74,1.69,21,1,1.86,1.81,2.14,2.06,7.5,4.05,1.56,,,,,,,,,
E0,20/01/18,Everton,West Brom,1,1,D,0,1,A,S Attwell,9,15,4,5,15,10,0,3,2,1,0,0,2.14,3.2,4,2.1,3.1,4,2.2,3.1,3.6,2.1,3.1,3.7,2.16,3.3,3.93,2.15,3.1,4,2.2,3.2,3.9,37,2.22,2.14,3.3,3.14,4.25,3.82,33,2.63,2.52,1.57,1.52,21,-0.25,1.88,1.83,2.1,2.04,2.59,2.97,3.37,,,,,,,,,
E0,20/01/18,Leicester,Watford,2,0,H,1,0,H,L Probert,9,11,5,3,11,10,4,5,0,0,0,0,1.85,3.89,4.33,1.8,3.75,4.33,1.9,3.5,4.1,1.8,3.7,4.2,1.85,3.84,4.47,1.85,3.75,4.33,1.85,3.9,4.4,37,1.9,1.84,3.9,3.75,4.65,4.22,35,1.8,1.74,2.19,2.1,19,-0.75,2.15,2.07,1.85,1.8,1.76,3.91,5.05,,,,,,,,,
E0,20/01/18,Man City,Newcastle,3,1,H,1,0,H,P Tierney,21,6,9,4,5,10,18,0,0,1,0,0,1.12,10,26,1.11,10,19,1.15,8,17,1.12,9,26,1.14,10.21,22.56,1.12,9,26,1.13,10,23,37,1.15,1.13,11,9.22,26,21.28,35,1.33,1.3,3.75,3.5,20,-2.5,2.05,2,1.92,1.86,1.12,11,28.5,,,,,,,,,
E0,20/01/18,Stoke,Huddersfield,2,0,H,0,0,D,M Oliver,11,6,6,3,18,13,3,2,1,1,0,0,2.04,3.39,4.09,2,3.3,4,2.1,3.2,3.75,2,3.2,4,2.04,3.41,4.23,2.05,3.3,4,2.05,3.4,4.1,37,2.1,2.03,3.45,3.33,4.23,3.97,35,2.3,2.21,1.73,1.67,20,-0.25,1.77,1.72,2.25,2.17,2.04,3.47,4.12,,,,,,,,,
E0,20/01/18,West Ham,Bournemouth,1,1,D,0,0,D,M Atkinson,12,8,4,3,8,7,6,3,3,1,0,0,2,3.6,4,1.95,3.6,3.9,2,3.4,3.8,2,3.5,3.7,2.06,3.62,3.87,2,3.5,4,2,3.7,3.9,36,2.1,2.01,3.7,3.55,4,3.76,35,1.91,1.87,2.05,1.95,19,-0.25,1.77,1.73,2.25,2.18,2.37,3.37,3.32,,,,,,,,,
E0,21/01/18,Southampton,Tottenham,1,1,D,1,1,D,K Friend,10,17,4,2,8,15,2,9,2,3,0,0,5.75,4.09,1.64,5.5,4,1.62,5,3.7,1.7,5.2,3.8,1.61,5.72,4.14,1.66,5.5,4,1.65,5.75,4,1.65,37,5.75,5.37,4.14,3.94,1.7,1.65,36,1.85,1.81,2.13,2.02,20,0.75,2.1,2.04,1.87,1.83,4.6,3.76,1.86,,,,,,,,,
E0,22/01/18,Swansea,Liverpool,1,0,H,1,0,H,N Swarbrick,3,21,2,4,5,9,3,9,0,2,0,0,12,5.75,1.3,10,5.5,1.3,8,5.3,1.35,11,5.2,1.3,11.96,5.8,1.31,11,5.5,1.3,12,5.5,1.3,35,12,10.75,5.8,5.37,1.35,1.31,33,1.73,1.66,2.3,2.21,19,1.5,2,1.95,1.98,1.92,11.68,5.87,1.31,,,,,,,,,
E0,30/01/18,Huddersfield,Liverpool,0,3,A,0,2,A,K Friend,5,14,1,7,8,8,1,4,0,0,0,0,12,5.75,1.3,10.5,5.5,1.3,7.5,4.8,1.4,12,5.5,1.3,10.75,5.65,1.33,11,5.5,1.3,12,5.75,1.3,38,12,10.65,5.75,5.46,1.4,1.31,36,1.75,1.68,2.31,2.2,20,1.5,2.02,1.96,1.95,1.9,10.95,5.49,1.34,,,,,,,,,
E0,30/01/18,Swansea,Arsenal,3,1,H,1,1,D,L Mason,12,9,4,4,4,8,4,3,0,3,0,0,7,4.59,1.5,6.5,4.33,1.5,6.2,4,1.55,7,4.4,1.5,7,4.62,1.51,7,4.33,1.5,7.5,4.4,1.5,37,7.5,6.93,4.62,4.37,1.55,1.5,35,1.83,1.76,2.15,2.08,19,1.25,1.83,1.79,2.13,2.08,7.1,4.3,1.55,,,,,,,,,
E0,30/01/18,West Ham,Crystal Palace,1,1,D,1,1,D,N Swarbrick,8,9,3,3,11,15,5,3,1,3,0,0,3.1,3.25,2.54,3,3.2,2.45,2.65,3.3,2.65,3,3.25,2.5,3.06,3.32,2.55,3,3.25,2.5,3,3.3,2.55,37,3.11,2.99,3.32,3.23,2.66,2.51,35,2.23,2.14,1.77,1.71,18,0.25,1.8,1.76,2.2,2.13,3.1,3.2,2.59,,,,,,,,,
E0,31/01/18,Chelsea,Bournemouth,0,3,A,0,0,D,L Probert,21,11,5,5,5,12,8,5,1,0,0,0,1.28,6.5,11,1.26,6,11,1.27,5.8,10.5,1.28,5.5,11,1.3,6.14,11.24,1.29,6,11,1.29,6,12,38,1.32,1.28,6.5,5.9,12,10.77,35,1.56,1.52,2.63,2.53,20,-1.75,2.12,2.06,1.86,1.81,1.37,5.25,10.11,,,,,,,,,
E0,31/01/18,Everton,Leicester,2,1,H,2,0,H,C Kavanagh,9,8,4,1,9,10,5,5,0,2,0,0,3,3.2,2.62,2.95,3.1,2.55,2.7,3.2,2.7,2.9,3.1,2.5,3.11,3.17,2.6,3,3.1,2.62,3.1,3.2,2.55,38,3.11,2.99,3.25,3.14,2.7,2.56,36,2.38,2.22,1.73,1.66,19,0.25,1.79,1.74,2.21,2.15,2.78,3.16,2.9,,,,,,,,,
E0,31/01/18,Man City,West Brom,3,0,H,1,0,H,R Madley,19,3,10,1,10,10,9,1,1,3,0,0,1.14,10,21,1.14,8.5,17.5,1.15,7.5,18,1.15,7.5,23,1.16,9,21.8,1.14,9,19,1.15,9,22,38,1.17,1.15,10,8.47,23,18.91,34,1.48,1.44,2.89,2.75,20,-2.25,2.08,2.02,1.88,1.83,1.15,9.1,23.5,,,,,,,,,
E0,31/01/18,Newcastle,Burnley,1,1,D,0,0,D,S Hooper,14,11,4,2,15,15,7,4,1,2,0,0,2.2,3.2,3.89,2.15,3.1,3.8,2.1,3.3,3.6,2.1,3,3.75,2.19,3.15,4.05,2.2,3.1,3.75,2.2,3.13,4,38,2.25,2.17,3.3,3.13,4.05,3.83,35,2.75,2.58,1.55,1.5,21,-0.25,1.87,1.82,2.1,2.05,2.21,3.19,3.95,,,,,,,,,
E0,31/01/18,Southampton,Brighton,1,1,D,0,1,A,M Dean,18,9,3,2,8,10,7,2,3,1,0,0,1.75,3.5,6,1.75,3.4,5.5,1.8,3.6,4.5,1.75,3.3,5.25,1.77,3.48,5.99,1.75,3.3,6,1.75,3.5,5.75,38,1.82,1.75,3.6,3.43,6.03,5.49,36,2.45,2.36,1.65,1.59,20,-0.75,2.04,1.99,1.91,1.86,1.85,3.42,5.27,,,,,,,,,
E0,31/01/18,Stoke,Watford,0,0,D,0,0,D,J Moss,11,12,4,2,12,12,2,6,4,3,0,0,2.25,3.5,3.39,2.2,3.4,3.3,2.1,3.4,3.5,2.15,3.4,3.25,2.22,3.54,3.48,2.25,3.4,3.3,2.25,3.5,3.4,38,2.3,2.22,3.6,3.44,3.5,3.3,37,1.9,1.84,2.05,1.98,21,-0.25,1.95,1.9,2.02,1.96,2.18,3.55,3.58,,,,,,,,,
E0,31/01/18,Tottenham,Man United,2,0,H,2,0,H,A Marriner,22,6,6,3,10,13,6,3,2,2,0,0,2.35,3.29,3.39,2.25,3.25,3.4,2.4,3.3,2.95,2.2,3.3,3.2,2.32,3.42,3.38,2.3,3.3,3.3,2.3,3.3,3.4,38,2.4,2.29,3.46,3.33,3.45,3.28,37,1.98,1.92,1.96,1.9,21,-0.25,2,1.94,1.97,1.92,2.42,3.4,3.19,,,,,,,,,
E0,03/02/18,Arsenal,Everton,5,1,H,4,0,H,N Swarbrick,15,11,7,2,8,8,4,6,2,0,0,0,1.3,5.75,12,1.3,5.25,10.5,1.35,5.3,8,1.3,5.25,11,1.32,5.85,10.95,1.33,5,11,1.3,5.75,11,38,1.35,1.31,6,5.43,12,10.46,34,1.61,1.57,2.54,2.4,19,-1.75,2.18,2.11,1.81,1.77,1.37,5.45,9.5,,,,,,,,,
E0,03/02/18,Bournemouth,Stoke,2,1,H,0,1,A,P Tierney,15,13,8,4,14,19,8,1,2,3,0,0,1.9,3.7,4.33,1.87,3.6,4.2,2.1,3.4,3.5,1.87,3.5,4,1.92,3.66,4.43,1.91,3.5,4.33,1.91,3.7,4.33,39,2.1,1.91,3.73,3.58,4.5,4.12,38,1.91,1.83,2.06,1.99,19,-0.25,1.68,1.64,2.4,2.32,1.93,3.65,4.41,,,,,,,,,
E0,03/02/18,Brighton,West Ham,3,1,H,1,1,D,R East,21,4,5,1,11,7,4,1,3,1,0,0,2.35,3,3.7,2.3,3,3.5,2.4,3.1,3.2,2.3,3,3.4,2.37,3.07,3.66,2.3,3,3.6,2.3,3.1,3.7,38,2.42,2.32,3.14,3.02,3.7,3.53,35,2.7,2.56,1.55,1.51,20,-0.25,2,1.94,1.97,1.92,2.26,3.08,3.95,,,,,,,,,
E0,03/02/18,Burnley,Man City,1,1,D,0,1,A,M Atkinson,8,20,3,7,9,6,3,13,4,1,0,0,13,6,1.28,11,5.75,1.28,8,5.3,1.35,12,5.25,1.28,13,5.9,1.29,12,5.5,1.29,13,6,1.29,39,13,11.77,6.15,5.69,1.35,1.28,37,1.73,1.68,2.28,2.2,20,1.75,1.86,1.81,2.1,2.05,13.5,5.65,1.3,,,,,,,,,
E0,03/02/18,Leicester,Swansea,1,1,D,1,0,H,A Taylor,13,3,5,1,9,8,3,3,1,0,0,0,1.8,3.6,5.25,1.72,3.6,5.25,1.75,3.6,4.8,1.75,3.5,5,1.81,3.59,5.3,1.8,3.5,5,1.8,3.6,5.2,39,1.84,1.78,3.7,3.56,5.35,4.97,37,2.16,2.08,1.8,1.75,20,-0.75,2.08,2,1.89,1.85,1.85,3.49,5.18,,,,,,,,,
